BiosensorGroup,Object_GFPint,Object_Area_um2
POS,46.65930245,57.8083
POS,39.96730245,56.3897
POS,16.53030245,54.9711
POS,59.41430245,54.2618
POS,36.59530245,52.8432
POS,4.454302447,52.1339
POS,32.01230245,48.5874
POS,35.77730245,48.2327
POS,38.88730245,46.8141
POS,10.25330245,44.3316
POS,10.92530245,44.3316
POS,46.77130245,43.6223
POS,32.99030245,43.6223
POS,12.36030245,43.2676
POS,96.82330245,41.4943
POS,105.2593024,41.4943
POS,178.1343024,40.785
POS,29.40830245,40.4304
POS,20.76530245,39.7211
POS,44.03830245,37.9478
POS,100.8033024,37.2385
POS,32.51730245,37.2385
POS,45.28730245,35.4652
POS,23.05730245,35.4652
POS,48.42230245,35.1106
POS,26.76430245,34.7559
POS,104.6493024,34.4013
POS,48.84330245,33.692
POS,31.31730245,33.692
POS,55.76830245,33.3373
POS,51.77630245,32.628
POS,8.366302447,31.5641
POS,145.9513024,31.5641
POS,7.599302447,31.2094
POS,29.08930245,30.8548
POS,30.35930245,30.5001
POS,14.47730245,29.7908
POS,129.5803024,29.4362
POS,3.110302447,29.4362
POS,37.84530245,29.4362
POS,37.53930245,29.0815
POS,35.74630245,29.0815
POS,1.127302447,28.7268
POS,31.37430245,28.7268
POS,41.87930245,28.0175
POS,39.49930245,28.0175
POS,72.49630245,26.9536
POS,31.70630245,26.9536
POS,10.83430245,25.535
POS,62.29730245,25.1803
POS,40.59330245,25.1803
POS,29.35430245,25.1803
POS,19.67430245,24.8257
POS,36.91730245,24.8257
POS,54.18830245,24.8257
POS,33.27930245,24.471
POS,9.461302447,24.1164
POS,37.38830245,24.1164
POS,35.23530245,23.4071
POS,28.55230245,22.3431
POS,17.57330245,21.6338
POS,12.90130245,21.6338
POS,94.81430245,20.5698
POS,4.145302447,20.2152
POS,37.93530245,20.2152
