BiosensorGroup,Object_GFPint,Object_Area_um2
mCMV,13.50466242,76.2503
mCMV,16.78366242,1618.99
mCMV,18.10566242,15153.9
mCMV,9.180662419,98.2387
mCMV,34.61566242,17020.1
mCMV,64.97366242,348.623
mCMV,2.344662419,113.489
mCMV,21.94566242,7512.6
mCMV,41.44266242,42.5583
mCMV,62.99966242,502.188
mCMV,73.56466242,269.536
mCMV,113.8136624,118.809
mCMV,123.9616624,531.979
mCMV,468.8266624,180.163
mCMV,45.90566242,12982.8
mCMV,80.86866242,176.617
mCMV,40.78366242,177.326
mCMV,60.81366242,3929.9
mCMV,40.43866242,198.251
mCMV,31.06866242,49.2967
mCMV,7.065662419,98.5934
mCMV,445.1236624,261.379
mCMV,10.31566242,12718.5
mCMV,18.50766242,67.7386
mCMV,32.09066242,97.8841
mCMV,94.19166242,498.996
mCMV,70.33966242,403.594
mCMV,156.7556624,414.943
mCMV,34.95266242,38.6571
mCMV,35.37766242,283.367
mCMV,43.53966242,566.735
mCMV,6.252662419,3522.05
mCMV,44.02266242,6666.76
mCMV,30.43166242,721.363
mCMV,128.3476624,1855.9
mCMV,60.89166242,209.245
mCMV,13.79966242,1184.54
mCMV,55.42166242,5999.3
mCMV,60.90866242,266.344
mCMV,8.889662419,8599.61
mCMV,45.90066242,585.177
mCMV,22.16166242,85.8259
mCMV,36.04766242,95.0469
mCMV,108.1786624,681.642
mCMV,30.35566242,77.3142
mCMV,131.2186624,185.838
mCMV,65.96066242,206.762
mCMV,47.36466242,251.449
mCMV,444.3146624,26.9536
mCMV,50.43866242,22.3431
mCMV,71.79466242,5605.64
mCMV,14.97366242,5142.46
mCMV,10.99466242,45.0409
mCMV,37.53666242,65.2561
mCMV,41.36266242,110.652
mCMV,97.82166242,312.449
mCMV,27.34066242,166.687
mCMV,29.04166242,131.221
mCMV,90.18166242,27.3082
mCMV,10.71566242,80.1515
mCMV,56.23566242,4499.12
mCMV,37.92766242,86.5352
mCMV,25.77366242,8858.51
mCMV,12.76566242,8263.05
mCMV,15.65666242,813.927
mCMV,61.42566242,1448.4
mCMV,42.58966242,826.34
mCMV,22.44866242,4249.8
mCMV,28.44866242,134.059
mCMV,47.41566242,6746.55
mCMV,76.58466242,126.966
mCMV,68.07866242,3891.96
mCMV,44.42066242,79.0875
mCMV,15.93966242,438.35
mCMV,67.64666242,5565.56
mCMV,35.30566242,736.613
mCMV,81.51366242,653.624
mCMV,45.29166242,1095.88
mCMV,51.45566242,212.082
mCMV,44.46366242,46.1048
mCMV,37.94766242,991.608
mCMV,78.79066242,774.916
mCMV,54.70666242,362.1
mCMV,46.47066242,413.525
mCMV,86.21366242,73.7677
mCMV,9.050662419,28.7268
mCMV,8.245662419,641.921
mCMV,47.29166242,9669.24
mCMV,23.71066242,12343.7
mCMV,12.47666242,300.391
mCMV,45.81566242,360.682
mCMV,56.53666242,3006.74
mCMV,60.47366242,34.0466
mCMV,17.61866242,779.526
mCMV,53.49266242,74.477
mCMV,28.66066242,376.996
mCMV,11.59766242,1065.02
mCMV,83.70066242,42.5583
mCMV,63.04666242,1141.63
mCMV,27.93666242,2715.57
mCMV,52.27966242,5571.94
mCMV,17.04766242,147.89
mCMV,60.48666242,284.077
mCMV,22.85666242,320.606
mCMV,21.68266242,998.701
mCMV,28.47966242,2804.59
mCMV,41.32666242,58.8723
mCMV,32.28166242,84.4073
mCMV,35.22166242,54.2618
mCMV,58.65066242,8540.03
mCMV,26.04266242,11461.3
mCMV,58.34966242,9876.72
mCMV,42.70566242,5048.48
mCMV,41.93866242,102.495
mCMV,28.15966242,63.4828
mCMV,103.1256624,492.258
mCMV,36.01466242,494.74
mCMV,23.13966242,2480.44
mCMV,12.91466242,163.495
mCMV,14.94666242,1763.69
mCMV,19.05766242,7402.66
mCMV,10.35466242,533.397
mCMV,47.82966242,7179.94
mCMV,2.091662419,86.1805
mCMV,68.78966242,6304.3
mCMV,54.95566242,10471.5
mCMV,16.57366242,1520.75
mCMV,11.32666242,2715.93
mCMV,19.34966242,244.356
mCMV,17.15966242,2956.74
mCMV,67.03166242,3589.79
mCMV,57.86566242,557.159
mCMV,38.86066242,20306.3
mCMV,34.90466242,102.495
mCMV,49.23566242,10266.5
mCMV,50.28266242,66.32
mCMV,61.25666242,401.112
mCMV,34.27566242,86.5352
mCMV,15.85866242,1476.06
mCMV,2.591662419,147.181
mCMV,70.00666242,5886.17
mCMV,317.3206624,232.297
mCMV,66.47866242,7730
mCMV,46.96366242,15791.3
mCMV,11.70166242,5587.9
mCMV,38.66666242,4882.85
mCMV,85.10366242,2441.78
mCMV,74.92666242,828.113
mCMV,61.92066242,29589.4
mCMV,23.13066242,20.2152
mCMV,43.26966242,552.549
mCMV,36.32466242,169.879
mCMV,48.24566242,1322.85
mCMV,21.63266242,112.779
mCMV,19.20966242,12112.4
mCMV,18.34666242,37.5932
mCMV,33.18866242,148.245
mCMV,99.11166242,28.7268
mCMV,24.70166242,104.977
mCMV,29.56666242,128281
mCMV,4.030662419,2595.7
mCMV,11.88266242,32.2734
mCMV,12.88866242,553.612
